Type,League,Class,Name,March,April,May,June,July,August,S13 August,S13 September,S13 October,End of Season,Post Season 13
Skill,SC,Assassin,Burst of Speed,637,610,591,606,594,595,599,599,592,592,591
Skill,SC,Assassin,Weapon Block,240,247,268,260,262,256,259,242,245,245,244
Skill,SC,Assassin,Cloak of Shadows,238,219,205,226,226,225,264,244,260,260,221
Skill,SC,Assassin,Fade,252,252,273,274,273,273,289,273,272,272,289
Skill,SC,Assassin,Shadow Warrior,91,71,143,147,148,147,149,163,143,143,142
Skill,SC,Assassin,Mind Blast,179,156,137,157,156,156,195,175,194,194,154
Skill,SC,Assassin,Venom,268,286,315,331,334,335,355,333,312,312,312
Skill,SC,Assassin,Shadow Master,645,637,680,740,769,768,827,787,767,767,754
Skill,SC,Assassin,Fire Blast,2683,2675,2579,2551,2587,2607,2594,2692,2710,2710,2729
Skill,SC,Assassin,Shock Web,231,237,240,222,193,193,174,173,174,174,175
Skill,SC,Assassin,Blade Throw,500,527,491,499,504,516,516,547,528,528,551
Skill,SC,Assassin,Charged Bolt Sentry,255,268,268,250,212,212,192,192,193,193,194
Skill,SC,Assassin,Wake of Fire,2670,2651,2553,2535,2575,2595,2576,2674,2692,2692,2712
Skill,SC,Assassin,Blade Fury,934,900,902,904,932,967,1007,1039,1033,1033,1053
Skill,SC,Assassin,Lightning Sentry,488,469,469,452,414,415,405,405,406,406,426
Skill,SC,Assassin,Wake of Inferno,2663,2643,2544,2524,2543,2563,2543,2643,2663,2663,2684
Skill,SC,Assassin,Death Sentry,629,605,584,579,563,549,546,546,546,546,574
Skill,SC,Assassin,Blade Shield,2256,2290,2213,2208,2246,2293,2308,2386,2385,2385,2385
Skill,SC,Barbarian,Howl,194,193,211,211,192,192,192,190,189,189,188
Skill,SC,Barbarian,Find Potion,150,151,154,153,153,153,153,152,151,151,150
Skill,SC,Barbarian,Taunt,411,450,451,488,545,525,526,544,563,563,543
Skill,SC,Barbarian,Shout,500,501,518,484,483,483,482,489,485,485,484
Skill,SC,Barbarian,Find Item,223,227,249,228,247,247,247,248,247,247,244
Skill,SC,Barbarian,Battle Cry,2184,2188,2095,2058,2102,2117,2127,2127,2127,2127,2107
Skill,SC,Barbarian,Battle Orders,1652,1654,1749,1746,1813,1810,1810,1797,1787,1787,1767
Skill,SC,Barbarian,Grim Ward,1589,1591,1630,1592,1600,1633,1655,1644,1648,1648,1641
Skill,SC,Barbarian,War Cry,338,377,354,393,453,433,433,454,473,473,453
Skill,SC,Barbarian,Battle Command,993,995,963,949,966,950,917,907,933,933,903
Skill,SC,Barbarian,Edged Weapon Mastery,632,653,652,705,678,681,681,678,641,641,640
Skill,SC,Barbarian,Pole Weapon Mastery,803,781,775,734,734,735,730,728,687,687,686
Skill,SC,Barbarian,Blunt Weapon Mastery,601,638,677,677,637,598,599,578,575,575,579
Skill,SC,Barbarian,Thrown Weapon Mastery,121,102,142,168,168,168,189,170,190,190,190
Skill,SC,Barbarian,Increased Stamina,260,259,240,254,258,239,239,252,237,237,236
Skill,SC,Barbarian,Counter Attack,129,129,110,111,110,108,101,99,98,98,97
Skill,SC,Barbarian,Iron Skin,364,365,377,377,378,378,391,394,394,394,394
Skill,SC,Barbarian,Increased Speed,250,249,235,216,215,234,225,223,223,223,222
Skill,SC,Barbarian,Puncture,165,165,143,144,144,143,144,139,136,136,136
Skill,SC,Barbarian,Natural Resistance,320,328,329,317,331,324,308,309,298,298,302
Skill,SC,Barbarian,Whirling Axes,2221,2201,2103,2023,1984,2003,2005,1965,1945,1945,1945
Skill,SC,Barbarian,Double Swing,2133,2082,1989,1951,1928,1947,1908,1893,1854,1854,1859
Skill,SC,Barbarian,Concentrate,152,151,191,191,169,169,168,165,164,164,164
Skill,SC,Barbarian,Cleave,241,220,222,241,238,239,239,236,226,226,226
Skill,SC,Barbarian,Frenzy,335,334,296,308,306,305,265,285,266,266,266
Skill,SC,Barbarian,Stun,151,150,171,188,166,166,168,165,164,164,164
Skill,SC,Barbarian,Leap Slam,387,385,405,424,421,441,460,419,418,418,418
Skill,SC,Barbarian,Double Throw,0,0,0,0,,0,0,0,0,0,0
Skill,SC,Barbarian,Bash,330,313,353,411,379,380,415,394,411,411,431
Skill,SC,Barbarian,Ethereal Throw,143,123,124,164,164,164,184,165,185,185,185
Skill,SC,Barbarian,Whirlwind,1550,1541,1509,1483,1463,1425,1426,1400,1375,1375,1373
Skill,SC,Druid,Firestorm,448,501,527,545,577,577,585,564,525,525,525
Skill,SC,Druid,Molten Boulder,1081,1079,1080,1079,1133,1152,1146,1144,1124,1124,1124
Skill,SC,Druid,Flame Dash,1058,1045,1012,1026,1031,1050,990,1026,1006,1006,1006
Skill,SC,Druid,Arctic Blast,203,231,178,213,233,194,193,203,202,202,202
Skill,SC,Druid,Fissure,351,354,355,355,359,360,359,303,313,313,311
Skill,SC,Druid,Cyclone Armor,258,203,185,226,239,208,210,226,225,225,225
Skill,SC,Druid,Twister,444,445,364,420,424,423,425,420,419,419,419
Skill,SC,Druid,Volcano,213,246,258,258,281,282,300,278,287,287,287
Skill,SC,Druid,Tornado,531,566,454,477,510,497,497,485,484,484,484
Skill,SC,Druid,Armageddon,558,619,639,620,689,691,688,672,652,652,653
Skill,SC,Druid,Hurricane,668,726,587,630,618,618,630,670,669,669,669
Skill,SC,Druid,Werewolf,294,334,358,365,362,382,389,410,412,412,424
Skill,SC,Druid,Lycanthropy,1678,1733,1764,1754,1712,1732,1772,1814,1831,1831,1851
Skill,SC,Druid,Werebear,671,632,654,607,588,588,608,626,626,626,626
Skill,SC,Druid,Feral Rage,147,152,185,194,191,192,209,229,249,249,250
Skill,SC,Druid,Maul,917,873,886,825,807,807,827,847,847,847,847
Skill,SC,Druid,Rabies,988,1011,1012,1034,1012,1013,1033,995,977,977,997
Skill,SC,Druid,Fire Claws,101,82,102,82,122,122,142,162,162,162,162
Skill,SC,Druid,Hunger,0,0,0,1,,0,0,0,0,0,0
Skill,SC,Druid,Shock Wave,703,663,683,643,623,623,643,663,663,663,663
Skill,SC,Druid,Fury,151,217,237,276,256,275,276,313,353,353,353
Skill,SC,Druid,Raven,211,189,189,207,204,185,184,187,187,187,188
Skill,SC,Druid,Poison Creeper,1133,1146,1152,1170,1130,1131,1133,1087,1067,1067,1088
Skill,SC,Druid,Heart of Wolverine,1051,1059,1130,1122,1064,1064,1050,1075,1097,1097,1098
Skill,SC,Druid,Summon Spirit Wolf,731,647,655,638,593,599,580,557,563,563,564
Skill,SC,Druid,Carrion Vine,52,44,45,57,57,58,58,59,59,59,60
Skill,SC,Druid,Oak Sage,1607,1618,1603,1586,1532,1513,1549,1564,1570,1570,1571
Skill,SC,Druid,Summon Dire Wolf,1857,1798,1848,1792,1729,1739,1740,1685,1682,1682,1703
Skill,SC,Druid,Solar Creeper,29,36,28,44,44,45,46,46,46,46,47
Skill,SC,Druid,Spirit of Barbs,60,59,59,57,34,35,36,38,38,38,39
Skill,SC,Druid,Summon Grizzly,1170,1046,1065,1026,991,994,977,939,957,957,959
Skill,SC,Necromancer,Summon Mastery,2308,2360,2397,2430,2487,2481,2460,2444,2423,2423,2449
Skill,SC,Necromancer,Raise Skeleton Warrior,560,615,583,603,606,606,617,633,631,631,633
Skill,SC,Necromancer,Bone Offering,32,35,35,36,35,35,35,32,31,31,31
Skill,SC,Necromancer,Clay Golem,227,223,227,223,225,223,218,212,212,212,215
Skill,SC,Necromancer,Flesh Offering,50,50,51,50,51,51,51,63,61,61,61
Skill,SC,Necromancer,Raise Skeletal Mage,428,522,527,544,566,566,550,567,565,565,567
Skill,SC,Necromancer,Blood Golem,389,389,402,402,393,391,386,393,393,393,403
Skill,SC,Necromancer,Convocation,2256,2162,2252,2285,2315,2327,2298,2263,2263,2263,2282
Skill,SC,Necromancer,Iron Golem,113,116,120,124,129,129,127,127,127,127,128
Skill,SC,Necromancer,Fire Golem,1744,1748,1828,1869,1915,1896,1875,1836,1817,1817,1837
Skill,SC,Necromancer,Revive,484,518,513,528,544,528,520,517,517,517,519
Skill,SC,Necromancer,Deadly Poison,615,591,663,705,745,744,723,709,702,702,725
Skill,SC,Necromancer,Teeth,25,25,45,45,45,25,25,24,25,25,25
Skill,SC,Necromancer,Bone Armor,209,200,210,211,212,210,197,195,193,193,193
Skill,SC,Necromancer,Corpse Explosion,1992,1965,2067,2103,2162,2141,2100,2048,2027,2027,2046
Skill,SC,Necromancer,Desecrate,979,930,1018,1077,1117,1116,1095,1093,1092,1092,1115
Skill,SC,Necromancer,Bone Spear,35,35,55,55,55,35,34,34,35,35,35
Skill,SC,Necromancer,Bone Wall,341,325,328,331,325,324,314,275,290,290,271
Skill,SC,Necromancer,Bone Spirit,21,19,39,39,39,33,33,33,34,34,34
Skill,SC,Necromancer,Poison Nova,652,613,672,708,748,748,736,737,740,740,760
Skill,SC,Necromancer,Amplify Damage,63,66,84,86,97,96,106,106,104,104,111
Skill,SC,Necromancer,Dim Vision,574,544,534,500,467,447,415,397,425,425,405
Skill,SC,Necromancer,Hemorrhage,2360,2200,2120,2000,1941,1921,1861,1821,1841,1841,1821
Skill,SC,Necromancer,Weaken,2352,2195,2115,1995,1935,1915,1855,1815,1835,1835,1815
Skill,SC,Necromancer,Iron Maiden,2338,2200,2120,2000,1940,1920,1860,1820,1840,1840,1820
Skill,SC,Necromancer,Terror,1,1,1,1,1,1,1,1,1,1,1
Skill,SC,Necromancer,Confuse,4,4,4,4,7,7,7,7,7,7,7
Skill,SC,Necromancer,Life Tap,2360,2204,2123,2003,1943,1923,1863,1823,1843,1843,1823
Skill,SC,Necromancer,Attract,5,5,5,4,4,4,4,4,5,5,5
Skill,SC,Necromancer,Decrepify,236,228,229,228,229,227,218,215,213,213,224
Skill,SC,Necromancer,Lower Resist,356,342,398,402,427,432,431,395,379,379,415
Skill,SC,Paladin,Prayer,234,234,231,229,243,245,243,240,239,239,239
Skill,SC,Paladin,Resist Fire,305,342,387,405,403,422,443,419,478,478,479
Skill,SC,Paladin,Defiance,680,730,703,707,698,700,724,721,721,721,721
Skill,SC,Paladin,Resist Cold,138,130,159,180,178,195,188,236,236,236,236
Skill,SC,Paladin,Cleansing,396,396,408,407,383,384,403,400,400,400,400
Skill,SC,Paladin,Resist Lightning,501,481,541,562,523,544,584,592,612,612,612
Skill,SC,Paladin,Vigor,1006,969,991,1012,951,931,892,871,871,871,871
Skill,SC,Paladin,Meditation,31,32,31,31,34,34,34,34,34,34,34
Skill,SC,Paladin,Redemption,187,182,201,219,215,213,195,194,193,193,193
Skill,SC,Paladin,Salvation,738,748,861,919,898,920,940,948,981,981,981
Skill,SC,Paladin,Might,285,292,346,345,345,363,344,335,354,354,354
Skill,SC,Paladin,Holy Fire,140,152,132,129,132,131,132,132,131,131,131
Skill,SC,Paladin,Precision,128,125,104,100,104,102,104,104,105,105,105
Skill,SC,Paladin,Blessed Aim,870,853,849,890,830,809,770,770,767,767,767
Skill,SC,Paladin,Concentration,778,741,717,758,698,677,638,618,618,618,618
Skill,SC,Paladin,Holy Freeze,263,241,260,276,260,259,260,298,297,297,297
Skill,SC,Paladin,Holy Shock,1454,1401,1419,1393,1468,1450,1450,1469,1428,1428,1428
Skill,SC,Paladin,Sanctuary,1258,1198,1139,1062,1090,1070,1091,1087,1074,1074,1075
Skill,SC,Paladin,Fanaticism,679,721,641,642,641,640,660,679,700,700,700
Skill,SC,Paladin,Conviction,573,547,574,560,586,565,566,564,560,560,561
Skill,SC,Paladin,Sacrifice,285,380,377,373,393,393,373,372,369,369,369
Skill,SC,Paladin,Smite,765,826,777,776,758,776,777,777,792,792,792
Skill,SC,Paladin,Holy Bolt,1811,1733,1674,1597,1693,1673,1674,1673,1616,1616,1616
Skill,SC,Paladin,Zeal,351,455,447,424,448,447,428,421,418,418,418
Skill,SC,Paladin,Charge,427,424,462,479,480,517,540,540,540,540,543
Skill,SC,Paladin,Vengeance,183,173,189,185,189,188,188,208,205,205,205
Skill,SC,Paladin,Blessed Hammer,1010,986,984,1021,965,945,908,907,888,888,888
Skill,SC,Paladin,Absolution,121,118,94,90,95,94,94,94,91,91,91
Skill,SC,Paladin,Holy Shield,2058,2124,2076,2049,2049,2069,2099,2087,2115,2115,2118
Skill,SC,Paladin,Fist of the Heavens,1715,1644,1564,1484,1584,1564,1564,1564,1504,1504,1504
Skill,SC,Paladin,Dashing Strike,277,257,244,248,228,249,270,269,289,289,289
Skill,SC,Sorceress,Ice Bolt,763,736,794,763,750,743,776,807,789,789,791
Skill,SC,Sorceress,Frigerate,482,494,523,539,578,558,559,569,549,549,550
Skill,SC,Sorceress,Frost Nova,411,388,391,452,473,472,471,413,453,453,431
Skill,SC,Sorceress,Ice Blast,1307,1228,1276,1259,1262,1261,1299,1288,1284,1284,1284
Skill,SC,Sorceress,Shiver Armor,830,823,853,891,933,913,909,903,922,922,903
Skill,SC,Sorceress,Glacial Spike,997,946,1005,958,934,933,971,1005,952,952,958
Skill,SC,Sorceress,Blizzard,238,217,220,238,249,248,249,240,240,240,238
Skill,SC,Sorceress,Freezing Pulse,841,785,825,801,764,764,784,823,803,803,823
Skill,SC,Sorceress,Chilling Armor,20,11,13,11,10,10,10,7,7,7,6
Skill,SC,Sorceress,Frozen Orb,673,668,732,737,754,734,714,756,756,756,716
Skill,SC,Sorceress,Cold Mastery,2099,1998,2065,2069,2069,2049,2069,2101,2124,2124,2086
Skill,SC,Sorceress,Charged Bolt,813,750,750,735,718,699,644,678,737,737,700
Skill,SC,Sorceress,Static Field,268,274,272,267,271,268,268,268,268,268,267
Skill,SC,Sorceress,Telekinesis,1889,1967,2048,2130,2172,2170,2219,2243,2261,2261,2299
Skill,SC,Sorceress,Nova,545,548,547,527,527,547,549,556,536,536,536
Skill,SC,Sorceress,Lightning Surge,1493,1505,1591,1613,1619,1608,1601,1656,1720,1720,1702
Skill,SC,Sorceress,Chain Lightning,743,706,711,694,715,716,661,702,763,763,724
Skill,SC,Sorceress,Teleport,1548,1566,1663,1734,1755,1749,1767,1793,1819,1819,1832
Skill,SC,Sorceress,Discharge,453,456,453,434,414,435,453,477,457,457,457
Skill,SC,Sorceress,Thunder Storm,1176,1225,1307,1367,1386,1386,1418,1471,1460,1460,1462
Skill,SC,Sorceress,Energy Shield,505,521,557,573,595,597,610,623,612,612,629
Skill,SC,Sorceress,Lightning Mastery,2421,2414,2492,2510,2503,2504,2488,2551,2589,2589,2568
Skill,SC,Sorceress,Fire Bolt,378,357,419,431,450,448,452,404,426,426,440
Skill,SC,Sorceress,Warmth,1484,1487,1538,1600,1639,1618,1611,1613,1615,1615,1676
Skill,SC,Sorceress,Inferno,69,90,110,110,109,109,109,131,131,131,171
Skill,SC,Sorceress,Immolate,47,47,47,47,46,46,46,65,65,65,65
Skill,SC,Sorceress,Fire Ball,501,482,522,513,512,503,503,477,500,500,503
Skill,SC,Sorceress,Fire Wall,27,27,28,28,40,40,40,39,39,39,39
Skill,SC,Sorceress,Enflame,524,497,499,544,563,540,537,539,542,542,563
Skill,SC,Sorceress,Meteor,102,102,103,84,62,62,68,48,48,48,48
Skill,SC,Sorceress,Hydra,1301,1236,1256,1353,1360,1333,1293,1333,1389,1389,1360
Skill,SC,Sorceress,Fire Mastery,1271,1303,1342,1445,1447,1399,1360,1400,1438,1438,1465
Unique,SC,,Alma Negra,7,7,6,6,7,7,7,7,7,7,6
Unique,SC,,Andariel's Visage,52,53,56,55,54,55,52,52,49,49,51
Unique,SC,,Arachnid Mesh,425,437,448,455,463,466,465,481,489,489,487
Unique,SC,,Arioc's Needle,0,0,0,0,,1,1,0,0,0,0
Unique,SC,,Arkaine's Valor,19,20,23,21,22,22,22,22,22,22,21
Unique,SC,,Arm of King Leoric,2,4,4,4,4,5,6,6,6,6,6
Unique,SC,,Arreat's Face,105,102,106,105,106,107,105,104,104,104,104
Unique,SC,,Astreon's Iron Ward,6,7,5,5,4,4,4,4,4,4,4
Unique,SC,,Athena's Wrath,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Atma's Scarab,21,17,17,18,16,16,18,19,20,20,20
Unique,SC,,Atma's Wail,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Axe of Fechmar,1,1,0,0,,0,0,0,0,0,0
Unique,SC,,Azurewrath,12,11,11,10,11,12,12,12,13,13,12
Unique,SC,,Baezil's Vortex,2,2,2,1,0(+1),0(+1),0(+1),0(+1),0(+1),0(+1),0(+1)
Unique,SC,,Bane Ash,1,1,1,1,0(+1),0(+1),0(+1),0(+1),0(+1),0(+1),0(+1)
Unique,SC,,Baranar's Star,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Bartuc's Cut-Throat,23,24,27,26,27,26,26,23,21,21,23
Unique,SC,,Biggin's Bonnet,1,1,1,1,1,1,1,1,1,1,1
Unique,SC,,Bing Sz Wang,1,2,2,2,2,1,1,1,1,1,1
Unique,SC,,Black Hades,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Blackbog's Sharp,0,0,0,0,1,1,1,1,1,1,1
Unique,SC,,Blackhand Key,1,1,2,2,2(+1),2(+1),2(+1),1(+1),1(+1),1(+1),1(+1)
Unique,SC,,Blackhorn's Face,0,0,0,1,,0,0,0,0,0,0
Unique,SC,,Blackleach Blade,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Blackoak Shield,2,2,3,3,3,3,4,4,4,4,4
Unique,SC,,Blacktongue,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Blade Of Ali Baba,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Bladebone,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Bladebuckle,4,3,2,2,2,2,2,2,2,2,2
Unique,SC,,Blastbark,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Blinkbat's Form,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Blood Crescent,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Blood Raven's Charge,0,0,0,0,,0,0,1,0,0,0
Unique,SC,,Bloodfist,11,9,9,10,9,9,7,9,8,8,8
Unique,SC,,Bloodletter,2,2,2,2,1(+1),1(+1),1,1,1,1,1
Unique,SC,,Bloodmoon,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Bloodrise,0,0,0,0,,0,1,0,0,0,0
Unique,SC,,Bloodthief,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Bloodtree Stump,1,1,1,1,0(+1),0(+1),0(+1),0(+1),0(+1),0(+1),0(+1)
Unique,SC,,Boneflame,6,8,7,8,9,10,11,11,11,11,11
Unique,SC,,Boneflesh,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Bonehew,0,0,0,0,,0,0,0,1,1,1
Unique,SC,,Boneshade,3,3,4,4,3,2(+1),2(+1),3(+1),3(+1),3(+1),3(+1)
Unique,SC,,Boneslayer Blade,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Bonesnap,2,3,2,2,1(+1),1(+1),1(+1),1(+1),1(+1),1(+1),1(+1)
Unique,SC,,Brainhew,0,0,1,1,0(+1),0(+1),0(+1),0(+1),0(+1),0(+1),0(+1)
Unique,SC,,Bul-Kathos' Wedding Band,222,239,242,250,262,259,264,272,278,278,281
Unique,SC,,Buriza-Do Kyanon,8,7,7,7,6(+1),6(+1),6(+1),6(+1),6(+1),6(+1),6(+2)
Unique,SC,,Butcher's Pupil,1,1,1,1,1,1,1,1,1,1,1
Unique,SC,,Bverrit Keep,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Carin Shard,3,3,3,3,0(+3),0(+3),0(+3),0(+2),0(+2),0(+2),0(+2)
Unique,SC,,Carrion Wind,66,61,68,69,64,65,63,59,57,57,58
Unique,SC,,Cerebus' Bite,2,3,3,3,3,3,3,3,3,3,3
Unique,SC,,Chance Guards,58,55,55,58,58,57,58,60,63,63,62
Unique,SC,,Chromatic Ire,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Cliffkiller,1,0,0,0,,0,0,0,0(+1),0(+1),0(+1)
Unique,SC,,Cloudcrack,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Coif of Glory,0,0,0,0,,0,0,0,0,0,1
Unique,SC,,Coldkill,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Coldsteel Eye,0,0,0,0,,0,0,0,0,0,0(+1)
Unique,SC,,Corpsemourn,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Crainte Vomir,1,1,1,1,0(+1),0(+1),0(+1),0(+1),0(+1),0(+1),0(+1)
Unique,SC,,Cranebeak,2,2,2,2,1,1,1,1,1,1,1
Unique,SC,,Crescent Moon,3,3,3,2,2,2,1,1,1,1,1
Unique,SC,,Crow Caw,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Crown of Ages,16,15,18,20,19,20,20,16,16,16,16
Unique,SC,,Crown of Thieves,1,1,1,1,,1,1,1,1,1,1
Unique,SC,,Crushflange,0,0,0,0,,0,1,0(+1),0(+1),0(+1),0(+1)
Unique,SC,,Culwen's Point,3,2,2,2,1(+1),1(+1),1(+2),1(+4),1(+3),1(+3),1(+3)
Unique,SC,,Dark Clan Crusher,6,6,6,7,7,7,6,5,5,5,5
Unique,SC,,Darkforce Spawn,1,1,1,2,2,2,2,2,2,2,2
Unique,SC,,Darkglow,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Darksight Helm,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Death Cleaver,5,6,3,3,3,3,4,4,4,4,4
Unique,SC,,Deathbit,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Death's Fathom,16,15,19,19,18,18,19,20,20,20,21
Unique,SC,,Death's Web,18,17,17,18,20,20,21,22,23,23,21(+1)
Unique,SC,,Deathspade,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Demon Limb,48,46,48,45,46,46,46,44,45,45,43
Unique,SC,,Demon Machine,1,1,1,1,0(+1),0(+1),0(+1),0(+1),0(+1),0(+1),0(+1)
Unique,SC,,Demonhorn's Edge,0,0,1,1,1,1,1,1,1,1,1
Unique,SC,,Demon's Arch,1,1,1,1,1,1,1,1,1,1,1
Unique,SC,,Dimoak's Hew,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Djinn Slayer,1,2,1,1,1,1,1,1,1,1,1
Unique,SC,,Doombringer,0,0,1,1,1,1,1,1,1,1,1
Unique,SC,,Doomslinger,13,16,18,18,19,18,18,15,16,16,16
Unique,SC,,Dracul's Grasp,90,101,110,104,105,105,108,110,110,110,112
Unique,SC,,Dragonscale,1,0,0,0,,0,1,1,1,1,1
Unique,SC,,Duriel's Shell,11,7,8,7,6,6,6,5,4,4,4
Unique,SC,,Duskdeep,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Dwarf Star,86,82,81,77,79,81,76,82,80,80,78
Unique,SC,,Eaglehorn,3,3,3,3,2(+1),2(+1),2(+1),2(+1),2(+1),2(+1),2(+1)
Unique,SC,,Earth Shifter,7,7,8,8,7(+1),7(+1),7(+1),6(+1),6(+1),6(+1),6(+1)
Unique,SC,,Earthshaker,1,1,1,1,1,1,1,1,1,1,1
Unique,SC,,Endlesshail,0,0,1,0,0(+1),0(+1),0(+1),0(+1),0,0,0
Unique,SC,,Eschuta's Temper,24,23,23,21,20,20,21,21,21,21,20
Unique,SC,,Ethereal Edge,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Executioner's Justice,1,1,2,1,1,1,1,1,1,1,1
Unique,SC,,Felloak,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Firelizard's Talons,4,4,3,3,2,2,2,2,2,2,2
Unique,SC,,Flamebellow,2,2,2,2,2,2,2,2,2,2,2
Unique,SC,,Fleshrender,8,8,8,9,7(+1),7(+1),6(+1),6(+1),6(+1),6(+1),6(+1)
Unique,SC,,Fleshripper,4,3,4,4,3(+1),3(+1),3(+1),5,5,5,5
Unique,SC,,Frostburn,33,33,32,29,31,29,30,31,32,32,34
Unique,SC,,Frostwind,12,13,14,14,14,14,14,15,15,15,15
Unique,SC,,Gargoyle's Bite,1,1,1,1,0(+1),0(+1),0(+1),0(+1),0(+1),0(+1),0(+1)
Unique,SC,,Gerke's Sanctuary,3,5,4,5,4,4,5,4,4,4,4
Unique,SC,,Ghostflame,0,0,1,1,1,1,1,1,1,1,1
