Type,Class,Name,March,April,May,June,July,August
Skill,Assassin,Weapon Block,240,247,268,260,262,262
Skill,Assassin,Cloak of Shadows,238,219,205,226,226,226
Skill,Assassin,Fade,252,252,273,274,273,273
Skill,Assassin,Shadow Warrior,91,71,143,147,148,148
Skill,Assassin,Mind Blast,179,156,137,157,156,156
Skill,Assassin,Venom,268,286,315,331,334,334
Skill,Assassin,Shadow Master,645,637,680,740,769,769
Skill,Assassin,Fire Blast,2683,2675,2579,2551,2587,2587
Skill,Assassin,Shock Web,231,237,240,222,193,193
Skill,Assassin,Blade Throw,500,527,491,499,504,504
Skill,Assassin,Charged Bolt Sentry,255,268,268,250,212,212
Skill,Assassin,Wake of Fire,2670,2651,2553,2535,2575,2575
Skill,Assassin,Blade Fury,934,900,902,904,932,933
Skill,Assassin,Lightning Sentry,488,469,469,452,414,415
Skill,Assassin,Wake of Inferno,2663,2643,2544,2524,2543,2543
Skill,Assassin,Death Sentry,629,605,584,579,563,563
Skill,Assassin,Blade Shield,2256,2290,2213,2208,2246,2246
Skill,Barbarian,Howl,194,193,211,211,192,192
Skill,Barbarian,Find Potion,150,151,154,153,153,152
Skill,Barbarian,Taunt,411,450,451,488,545,544
Skill,Barbarian,Shout,500,501,518,484,483,492
Skill,Barbarian,Find Item,223,227,249,228,247,227
Skill,Barbarian,Battle Cry,2184,2188,2095,2058,2102,2101
Skill,Barbarian,Battle Orders,1652,1654,1749,1746,1813,1838
Skill,Barbarian,Grim Ward,1589,1591,1630,1592,1600,1600
Skill,Barbarian,War Cry,338,377,354,393,453,453
Skill,Barbarian,Battle Command,993,995,963,949,966,966
Skill,Barbarian,Edged Weapon Mastery,632,653,652,705,678,698
Skill,Barbarian,Pole Weapon Mastery,803,781,775,734,734,734
Skill,Barbarian,Blunt Weapon Mastery,601,638,677,677,637,617
Skill,Barbarian,Thrown Weapon Mastery,121,102,142,168,168,168
Skill,Barbarian,Increased Stamina,260,259,240,254,258,239
Skill,Barbarian,Counter Attack,129,129,110,111,110,110
Skill,Barbarian,Iron Skin,364,365,377,377,378,378
Skill,Barbarian,Increased Speed,250,249,235,216,215,215
Skill,Barbarian,Puncture,165,165,143,144,144,144
Skill,Barbarian,Natural Resistance,320,328,329,317,331,324
Skill,Barbarian,Whirling Axes,2221,2201,2103,2023,1984,1983
Skill,Barbarian,Double Swing,2133,2082,1989,1951,1928,1948
Skill,Barbarian,Concentrate,152,151,191,191,169,168
Skill,Barbarian,Cleave,241,220,222,241,238,238
Skill,Barbarian,Frenzy,335,334,296,308,306,306
Skill,Barbarian,Stun,151,150,171,188,166,165
Skill,Barbarian,Leap Slam,387,385,405,424,421,421
Skill,Barbarian,Double Throw,0,0,0,0,,0
Skill,Barbarian,Bash,330,313,353,411,379,399
Skill,Barbarian,Ethereal Throw,143,123,124,164,164,164
Skill,Barbarian,Whirlwind,1550,1541,1509,1483,1463,1443
Skill,Druid,Firestorm,448,501,527,545,577,578
Skill,Druid,Molten Boulder,1081,1079,1080,1079,1133,1153
Skill,Druid,Flame Dash,1058,1045,1012,1026,1031,1051
Skill,Druid,Arctic Blast,203,231,178,213,233,214
Skill,Druid,Fissure,351,354,355,355,359,360
Skill,Druid,Cyclone Armor,258,203,185,226,239,228
Skill,Druid,Twister,444,445,364,420,424,424
Skill,Druid,Volcano,213,246,258,258,281,282
Skill,Druid,Tornado,531,566,454,477,510,497
Skill,Druid,Armageddon,558,619,639,620,689,690
Skill,Druid,Hurricane,668,726,587,630,618,618
Skill,Druid,Werewolf,294,334,358,365,362,362
Skill,Druid,Lycanthropy,1678,1733,1764,1754,1712,1712
Skill,Druid,Werebear,671,632,654,607,588,588
Skill,Druid,Feral Rage,147,152,185,194,191,191
Skill,Druid,Maul,917,873,886,825,807,807
Skill,Druid,Rabies,988,1011,1012,1034,1012,1012
Skill,Druid,Fire Claws,101,82,102,82,122,122
Skill,Druid,Hunger,0,0,0,1,,0
Skill,Druid,Shock Wave,703,663,683,643,623,623
Skill,Druid,Fury,151,217,237,276,256,256
Skill,Druid,Raven,211,189,189,207,204,204
Skill,Druid,Poison Creeper,1133,1146,1152,1170,1130,1130
Skill,Druid,Heart of Wolverine,1051,1059,1130,1122,1064,1064
Skill,Druid,Summon Spirit Wolf,731,647,655,638,593,593
Skill,Druid,Carrion Vine,52,44,45,57,57,57
Skill,Druid,Oak Sage,1607,1618,1603,1586,1532,1532
Skill,Druid,Summon Dire Wolf,1857,1798,1848,1792,1729,1729
Skill,Druid,Solar Creeper,29,36,28,44,44,44
Skill,Druid,Spirit of Barbs,60,59,59,57,34,34
Skill,Druid,Summon Grizzly,1170,1046,1065,1026,991,991
Skill,Necromancer,Summon Mastery,2308,2360,2397,2430,2487,2487
Skill,Necromancer,Raise Skeleton Warrior,560,615,583,603,606,606
Skill,Necromancer,Bone Offering,32,35,35,36,35,35
Skill,Necromancer,Clay Golem,227,223,227,223,225,225
Skill,Necromancer,Flesh Offering,50,50,51,50,51,51
Skill,Necromancer,Raise Skeletal Mage,428,522,527,544,566,566
Skill,Necromancer,Blood Golem,389,389,402,402,393,393
Skill,Necromancer,Convocation,2256,2162,2252,2285,2315,2315
Skill,Necromancer,Iron Golem,113,116,120,124,129,129
Skill,Necromancer,Fire Golem,1744,1748,1828,1869,1915,1915
Skill,Necromancer,Revive,484,518,513,528,544,544
Skill,Necromancer,Deadly Poison,615,591,663,705,745,745
Skill,Necromancer,Teeth,25,25,45,45,45,45
Skill,Necromancer,Bone Armor,209,200,210,211,212,212
Skill,Necromancer,Corpse Explosion,1992,1965,2067,2103,2162,2162
Skill,Necromancer,Desecrate,979,930,1018,1077,1117,1117
Skill,Necromancer,Bone Spear,35,35,55,55,55,55
Skill,Necromancer,Bone Wall,341,325,328,331,325,325
Skill,Necromancer,Bone Spirit,21,19,39,39,39,39
Skill,Necromancer,Poison Nova,652,613,672,708,748,748
Skill,Necromancer,Amplify Damage,63,66,84,86,97,97
Skill,Necromancer,Dim Vision,574,544,534,500,467,467
Skill,Necromancer,Hemorrhage,2360,2200,2120,2000,1941,1941
Skill,Necromancer,Weaken,2352,2195,2115,1995,1935,1935
Skill,Necromancer,Iron Maiden,2338,2200,2120,2000,1940,1940
Skill,Necromancer,Terror,1,1,1,1,1,1
Skill,Necromancer,Confuse,4,4,4,4,7,7
Skill,Necromancer,Life Tap,2360,2204,2123,2003,1943,1943
Skill,Necromancer,Attract,5,5,5,4,4,4
Skill,Necromancer,Decrepify,236,228,229,228,229,229
Skill,Necromancer,Lower Resist,356,342,398,402,427,427
Skill,Paladin,Prayer,234,234,231,229,243,244
Skill,Paladin,Resist Fire,305,342,387,405,403,403
Skill,Paladin,Defiance,680,730,703,707,698,698
Skill,Paladin,Resist Cold,138,130,159,180,178,178
Skill,Paladin,Cleansing,396,396,408,407,383,383
Skill,Paladin,Resist Lightning,501,481,541,562,523,524
Skill,Paladin,Vigor,1006,969,991,1012,951,951
Skill,Paladin,Meditation,31,32,31,31,34,34
Skill,Paladin,Redemption,187,182,201,219,215,215
Skill,Paladin,Salvation,738,748,861,919,898,898
Skill,Paladin,Might,285,292,346,345,345,345
Skill,Paladin,Holy Fire,140,152,132,129,132,132
Skill,Paladin,Precision,128,125,104,100,104,104
Skill,Paladin,Blessed Aim,870,853,849,890,830,830
Skill,Paladin,Concentration,778,741,717,758,698,698
Skill,Paladin,Holy Freeze,263,241,260,276,260,260
Skill,Paladin,Holy Shock,1454,1401,1419,1393,1468,1468
Skill,Paladin,Sanctuary,1258,1198,1139,1062,1090,1091
Skill,Paladin,Fanaticism,679,721,641,642,641,641
Skill,Paladin,Conviction,573,547,574,560,586,587
Skill,Paladin,Sacrifice,285,380,377,373,393,393
Skill,Paladin,Smite,765,826,777,776,758,758
Skill,Paladin,Holy Bolt,1811,1733,1674,1597,1693,1693
Skill,Paladin,Zeal,351,455,447,424,448,448
Skill,Paladin,Charge,427,424,462,479,480,480
Skill,Paladin,Vengeance,183,173,189,185,189,189
Skill,Paladin,Blessed Hammer,1010,986,984,1021,965,965
Skill,Paladin,Absolution,121,118,94,90,95,95
Skill,Paladin,Holy Shield,2058,2124,2076,2049,2049,2053
Skill,Paladin,Fist of the Heavens,1715,1644,1564,1484,1584,1584
Skill,Paladin,Dashing Strike,277,257,244,248,228,228
Skill,Sorceress,Ice Bolt,763,736,794,763,750,750
Skill,Sorceress,Frigerate,482,494,523,539,578,578
Skill,Sorceress,Frost Nova,411,388,391,452,473,473
Skill,Sorceress,Ice Blast,1307,1228,1276,1259,1262,1262
Skill,Sorceress,Shiver Armor,830,823,853,891,933,933
Skill,Sorceress,Glacial Spike,997,946,1005,958,934,934
Skill,Sorceress,Blizzard,238,217,220,238,249,249
Skill,Sorceress,Freezing Pulse,841,785,825,801,764,764
Skill,Sorceress,Chilling Armor,20,11,13,11,10,10
Skill,Sorceress,Frozen Orb,673,668,732,737,754,754
Skill,Sorceress,Cold Mastery,2099,1998,2065,2069,2069,2069
Skill,Sorceress,Charged Bolt,813,750,750,735,718,698
Skill,Sorceress,Static Field,268,274,272,267,271,252
Skill,Sorceress,Telekinesis,1889,1967,2048,2130,2172,2152
Skill,Sorceress,Nova,545,548,547,527,527,527
Skill,Sorceress,Lightning Surge,1493,1505,1591,1613,1619,1623
Skill,Sorceress,Chain Lightning,743,706,711,694,715,715
Skill,Sorceress,Teleport,1548,1566,1663,1734,1755,1750
Skill,Sorceress,Discharge,453,456,453,434,414,415
Skill,Sorceress,Thunder Storm,1176,1225,1307,1367,1386,1386
Skill,Sorceress,Energy Shield,505,521,557,573,595,596
Skill,Sorceress,Lightning Mastery,2421,2414,2492,2510,2503,2483
Skill,Sorceress,Fire Bolt,378,357,419,431,450,448
Skill,Sorceress,Warmth,1484,1487,1538,1600,1639,1638
Skill,Sorceress,Inferno,69,90,110,110,109,109
Skill,Sorceress,Immolate,47,47,47,47,46,46
Skill,Sorceress,Fire Ball,501,482,522,513,512,510
Skill,Sorceress,Fire Wall,27,27,28,28,40,40
Skill,Sorceress,Enflame,524,497,499,544,563,561
Skill,Sorceress,Meteor,102,102,103,84,62,62
Skill,Sorceress,Hydra,1301,1236,1256,1353,1360,1353
Skill,Sorceress,Fire Mastery,1271,1303,1342,1445,1447,1439
Unique,,Alma Negra,7,7,6,6,7,7
Unique,,Andariel's Visage,52,53,56,55,54,56
Unique,,Arachnid Mesh,425,437,448,455,463,463
Unique,,Arioc's Needle,0,0,0,0,,0
Unique,,Arkaine's Valor,19,20,23,21,22,22
Unique,,Arm of King Leoric,2,4,4,4,4,4
Unique,,Arreat's Face,105,102,106,105,106,106
Unique,,Astreon's Iron Ward,6,7,5,5,4,4
Unique,,Athena's Wrath,0,0,0,0,,0
Unique,,Atma's Scarab,21,17,17,18,16,16
Unique,,Atma's Wail,0,0,0,0,,0
Unique,,Axe of Fechmar,1,1,0,0,,0
Unique,,Azurewrath,12,11,11,10,11,12
Unique,,Baezil's Vortex,2,2,2,1,0(+1),0(+1)
Unique,,Bane Ash,1,1,1,1,0(+1),0(+1)
Unique,,Baranar's Star,0,0,0,0,,0
Unique,,Bartuc's Cut-Throat,23,24,27,26,27,27
Unique,,Biggin's Bonnet,1,1,1,1,1,1
Unique,,Bing Sz Wang,1,2,2,2,2,1
Unique,,Black Hades,0,0,0,0,,0
Unique,,Blackbog's Sharp,0,0,0,0,1,1
Unique,,Blackhand Key,1,1,2,2,2(+1),2(+1)
Unique,,Blackhorn's Face,0,0,0,1,,0
Unique,,Blackleach Blade,0,0,0,0,,0
Unique,,Blackoak Shield,2,2,3,3,3,3
Unique,,Blacktongue,0,0,0,0,,0
Unique,,Blade Of Ali Baba,0,0,0,0,,0
Unique,,Bladebone,0,0,0,0,,0
Unique,,Bladebuckle,4,3,2,2,2,2
Unique,,Blastbark,0,0,0,0,,0
Unique,,Blinkbat's Form,0,0,0,0,,0
Unique,,Blood Crescent,0,0,0,0,,0
Unique,,Blood Raven's Charge,0,0,0,0,,0
Unique,,Bloodfist,11,9,9,10,9,9
Unique,,Bloodletter,2,2,2,2,1(+1),1(+1)
Unique,,Bloodmoon,0,0,0,0,,0
Unique,,Bloodrise,0,0,0,0,,0
Unique,,Bloodthief,0,0,0,0,,0
Unique,,Bloodtree Stump,1,1,1,1,0(+1),0(+1)
Unique,,Boneflame,6,8,7,8,9,9
Unique,,Boneflesh,0,0,0,0,,0
Unique,,Bonehew,0,0,0,0,,0
Unique,,Boneshade,3,3,4,4,3,3
Unique,,Boneslayer Blade,0,0,0,0,,0
Unique,,Bonesnap,2,3,2,2,1(+1),1(+1)
Unique,,Brainhew,0,0,1,1,0(+1),0(+1)
Unique,,Bul-Kathos' Wedding Band,222,239,242,250,262,264
Unique,,Buriza-Do Kyanon,8,7,7,7,6(+1),6(+1)
Unique,,Butcher's Pupil,1,1,1,1,1,1
Unique,,Bverrit Keep,0,0,0,0,,0
Unique,,Carin Shard,3,3,3,3,0(+3),0(+3)
Unique,,Carrion Wind,66,61,68,69,64,64
Unique,,Cerebus' Bite,2,3,3,3,3,3
Unique,,Chance Guards,58,55,55,58,58,58
Unique,,Chromatic Ire,0,0,0,0,,0
Unique,,Cliffkiller,1,0,0,0,,0
Unique,,Cloudcrack,0,0,0,0,,0
Unique,,Coif of Glory,0,0,0,0,,0
Unique,,Coldkill,0,0,0,0,,0
Unique,,Coldsteel Eye,0,0,0,0,,0
Unique,,Corpsemourn,0,0,0,0,,0
Unique,,Crainte Vomir,1,1,1,1,0(+1),0(+1)
Unique,,Cranebeak,2,2,2,2,1,1
Unique,,Crescent Moon,3,3,3,2,2,2
Unique,,Crow Caw,0,0,0,0,,0
Unique,,Crown of Ages,16,15,18,20,19,19
Unique,,Crown of Thieves,1,1,1,1,,0
Unique,,Crushflange,0,0,0,0,,0
Unique,,Culwen's Point,3,2,2,2,1(+1),1(+1)
Unique,,Dark Clan Crusher,6,6,6,7,7,7
Unique,,Darkforce Spawn,1,1,1,2,2,2
Unique,,Darkglow,0,0,0,0,,0
Unique,,Darksight Helm,0,0,0,0,,0
Unique,,Death Cleaver,5,6,3,3,3,3
Unique,,Deathbit,0,0,0,0,,0
Unique,,Death's Fathom,16,15,19,19,18,18
Unique,,Death's Web,18,17,17,18,20,19
Unique,,Deathspade,0,0,0,0,,0
Unique,,Demon Limb,48,46,48,45,46,46
Unique,,Demon Machine,1,1,1,1,0(+1),0(+1)
Unique,,Demonhorn's Edge,0,0,1,1,1,1
Unique,,Demon's Arch,1,1,1,1,1,1
Unique,,Dimoak's Hew,0,0,0,0,,0
Unique,,Djinn Slayer,1,2,1,1,1,1
Unique,,Doombringer,0,0,1,1,1,1
Unique,,Doomslinger,13,16,18,18,19,19
Unique,,Dracul's Grasp,90,101,110,104,105,105
Unique,,Dragonscale,1,0,0,0,,0
Unique,,Duriel's Shell,11,7,8,7,6,6
Unique,,Duskdeep,0,0,0,0,,0
Unique,,Dwarf Star,86,82,81,77,79,79
Unique,,Eaglehorn,3,3,3,3,2(+1),2(+1)
Unique,,Earth Shifter,7,7,8,8,7(+1),7(+1)
Unique,,Earthshaker,1,1,1,1,1,1
Unique,,Endlesshail,0,0,1,0,0(+1),0(+1)
Unique,,Eschuta's Temper,24,23,23,21,20,20
Unique,,Ethereal Edge,0,0,0,0,,0
Unique,,Executioner's Justice,1,1,2,1,1,1
Unique,,Felloak,0,0,0,0,,0
Unique,,Firelizard's Talons,4,4,3,3,2,2
Unique,,Flamebellow,2,2,2,2,2,2
Unique,,Fleshrender,8,8,8,9,7(+1),7(+1)
Unique,,Fleshripper,4,3,4,4,3(+1),3(+1)
Unique,,Frostburn,33,33,32,29,31,30
Unique,,Frostwind,12,13,14,14,14,14
Unique,,Gargoyle's Bite,1,1,1,1,0(+1),0(+1)
Unique,,Gerke's Sanctuary,3,5,4,5,4,4
Unique,,Ghostflame,0,0,1,1,1,1
Unique,,Ghoulhide,2,2,2,2,2,2
Unique,,Giant Skull,1,1,1,1,2,2
Unique,,Gimmershred,0,0,0,0,,0
Unique,,Ginther's Rift,0,0,0,0,,0
Unique,,Gleamscythe,1,0,0,1,0(+1),0(+1)
Unique,,Gloom's Trap,2,1,1,1,2,2
Unique,,Goblin Toe,9,10,10,9,8,8
Unique,,Goldskin,4,1,1,1,1,1
Unique,,Goldstrike Arch,0,0,0,1,1,1
Unique,,Goldwrap,74,65,64,57,59,60
Unique,,Gore Rider,150,144,145,147,144,143
Unique,,Gorefoot,0,0,0,1,1,1
Unique,,Goreshovel,0,1,1,1,1,1
Unique,,Gravenspine,2,1,1,1,0(+1),0(+1)
Unique,,Gravepalm,1,1,1,1,1,1
Unique,,Greyform,0,0,0,0,,0
Unique,,Griffon's Eye,94,95,96,95,93,92
Unique,,Grim's Burning Dead,0,0,0,0,,0
Unique,,Griswold's Edge,1,0,0,0,,0
Unique,,Guardian Angel,22,21,17,18,18,18
Unique,,Guardian Naga,1,1,1,1,,0
Unique,,Gull,11,12,9,8,10,9
Unique,,Gut Siphon,0,0,0,0,,0
Unique,,Halaberd's Reign,1,1,1,1,1,1
Unique,,Hand of Blessed Light,3,2,2,2,1(+1),1(+1)
Unique,,Harlequin Crest,401,387,384,389,388,390
Unique,,Hawkmail,0,0,0,1,1,1
Unique,,Head Hunter's Glory,0,0,0,0,,0
Unique,,Headstriker,27,26,25,24,23,23
Unique,,Heart Carver,3,2,3,3,3(+1),3(+1)
Unique,,Heavenly Garb,0,0,1,1,1,1
Unique,,Heaven's Light,7,5,6,6,4(+1),4(+1)
Unique,,Hellcast,1,1,1,1,1,1
Unique,,Hellclap,0,0,0,1,1,0
Unique,,Hellmouth,0,0,0,0,,0
Unique,,Hellplague,1,1,1,1,0(+1),0(+1)
Unique,,Hellrack,2,2,2,2,2,2
Unique,,Hellslayer,0,0,1,1,0(+1),0(+1)
Unique,,Herald Of Zakarum,0,0,0,0,,0
Unique,,Hexfire,5,3,4,5,4(+1),4(+1)
Unique,,Highlord's Wrath,154,148,150,153,152,154
Unique,,Homunculus,146,139,137,137,138,138
Unique,,Hone Sundan,1,1,1,1,0(+1),0(+1)
Unique,,Horizon's Tornado,0,1,2,2,1(+1),1(+1)
Unique,,Hotspur,0,0,0,0,,0
Unique,,Howltusk,0,0,0,0,,0
Unique,,Humongous,0,0,0,0,,0
Unique,,Husoldal Evo,0,0,0,0,,0
Unique,,Iceblink,0,1,0,0,,0
Unique,,Ichorsting,0,0,0,0,,0
Unique,,Infernostride,6,7,8,8,8,8
Unique,,Iron Pelt,0,0,0,0,,0
Unique,,Ironstone,1,1,1,1,0(+1),0(+1)
Unique,,Islestrike,2,2,2,2,1(+1),1(+1)
Unique,,Jade Talon,5,5,7,4,2(+1),2(+1)
Unique,,Jalal's Mane,86,84,86,85,78,78
Unique,,Kelpie Snare,0,0,0,0,,0
Unique,,Kinemil's Awl,0,0,0,0,,0
Unique,,Kira's Guardian,11,10,10,10,9,9
Unique,,Knell Striker,1,1,1,1,0(+1),0(+1)
Unique,,Kuko Shakaku,2,2,2,3,2(+1),2(+1)
Unique,,Lacerator,4,4,4,3,3,3
Unique,,Lance Guard,2,1,1,1,1,1
Unique,,Lance of Yaggai,0,0,0,0,,0
Unique,,Langer Briser,0,0,0,0,,0
Unique,,Lava Gout,6,5,5,4,4,4
Unique,,Leadcrow,0,0,0,0,,0
Unique,,Lenymo,2,3,3,3,2,2
Unique,,Leviathan,4,4,6,4,4,3
Unique,,Lidless Wall,65,68,65,69,71,71
Unique,,Lightsabre,24,21,19,22,22(+1),22(+1)
Unique,,Lycander's Aim,0,0,0,0,,0
Unique,,Lycander's Flank,0,0,0,0,,0
Unique,,Maelstrom,1,1,1,1,0(+1),0(+1)
Unique,,Magefist,307,301,309,320,323,324
Unique,,Magewrath,1,1,0,0,1,0
Unique,,Manald Heal,47,38,35,36,38,39
Unique,,Mang Song's Lesson,19,18,19,20,17(+3),17(+3)
Unique,,Mara's Kaleidoscope,270,287,287,292,300,303
Unique,,Marrowwalk,14,16,17,16,16,16
Unique,,Medusa's Gaze,154,160,164,170,173,173
Unique,,Messerschmidt's Reaver,0,0,0,1,,0
Unique,,Metalgrid,15,18,20,19,23,22
Unique,,Moonfall,0,0,0,0,,0
Unique,,Moser's Blessed Circle,4,3,2,3,4,4
Unique,,Nagelring,142,135,126,123,120,121
Unique,,Nature's Peace,25,22,24,23,25,24
Unique,,Nightsmoke,12,11,11,12,10,10
Unique,,Nightwing's Veil,23,28,31,30,30,29
Unique,,Nokozan Relic,3,2,2,2,1,1
Unique,,Nord's Tenderizer,0,0,0,0,,0
Unique,,Nosferatu's Coil,9,10,12,11,10,10
Unique,,Ondal's Wisdom,44,41,42,42,41(+1),39(+1)
Unique,,Ormus' Robes,10,12,12,11,10,10
Unique,,Peasant Crown,6,5,5,4,4,4
Unique,,Pelta Lunata,1,1,1,1,1,1
Unique,,Pierre Tombale Couant,0,0,1,1,0(+1),0(+1)
Unique,,Plague Bearer,7,5,5,5,4,4
Unique,,Pluckeye,0,0,0,0,,0
Unique,,Pompeii's Wrath,2,1,1,1,1,1
Unique,,Pus Spitter,0,0,0,1,1,0
Unique,,Que-Hegan's Wisdom,22,21,22,21,20,20
Unique,,Radament's Sphere,29,27,33,34,39,40
Unique,,Rakescar,2,1,1,1,0(+1),0(+1)
Unique,,Rattlecage,1,1,1,0,,0
Unique,,Raven Claw,1,1,2,2,1(+1),1(+1)
Unique,,Raven Frost,481,480,486,494,486,488
Unique,,Ravenlore,20,20,19,22,23,23
Unique,,Razor's Edge,0,0,0,0,,0
Unique,,Razorswitch,2,2,2,2,2,2
Unique,,Razortail,110,109,114,114,114,114
Unique,,Razortine,0,0,0,0,,0
Unique,,Ribcracker,1,0,1,1,2,2
Unique,,Riphook,0,0,0,0,,0
Unique,,Ripsaw,1,1,1,1,0(+1),0(+1)
Unique,,Rixot's Keen,1,1,1,1,0(+1),0(+1)
Unique,,Rockfleece,1,1,1,1,1,1
Unique,,Rockstopper,2,2,2,2,2,2
Unique,,Rogue's Bow,1,1,1,1,0(+1),0(+1)
Unique,,Rune Master,1,2,2,2,0(+2),0(+2)
Unique,,Rusthandle,1,1,1,1,0(+2),0(+2)
Unique,,Sandstorm Trek,68,66,73,76,78,77
Unique,,Saracen's Chance,10,10,10,9,8,8
Unique,,Schaefer's Hammer,0,0,0,0,,0
Unique,,Seraph's Hymn,34,31,33,34,33,33
Unique,,Serpent Lord,1,1,1,1,1,1
Unique,,Shadow Dancer,28,28,32,33,35,35
Unique,,Shadow Killer,4,3,3,3,2(+1),2(+1)
Unique,,Shadowfang,0,0,0,0,,0
Unique,,Shaftstop,4,5,6,5,5,5
Unique,,Silks of the Victor,0,0,0,0,,0
Unique,,Silkweave,189,187,192,200,207,208
Unique,,Skewer of Krintiz,0,0,0,0,,0
Unique,,Skin of the Flayed One,0,0,0,0,,0
Unique,,Skin of the Vipermagi,173,159,160,160,162,162
Unique,,Skull Collector,3,3,2,3,3,3
Unique,,Skull Splitter,0,0,0,0,,0
Unique,,Skullder's Ire,26,26,24,23,21,21
Unique,,Skystrike,2,2,2,2,1(+1),1(+1)
Unique,,Snakecord,0,0,0,0,,0
Unique,,Snowclash,8,8,6,7,7,7
Unique,,Soul Drainer,34,34,39,39,40,40
Unique,,Soul Harvest,0,0,0,1,0(+1),0(+1)
Unique,,Soulfeast Tine,0,0,0,0,,0
Unique,,Soulflay,0,0,0,0,,0
Unique,,Sparking Mail,0,0,0,0,,0
Unique,,Spectral Shard,1,1,1,1,,0
Unique,,Spellsteel,5,4,3,5,5,5
Unique,,Spike Thorn,1,1,1,1,1,1
Unique,,Spineripper,0,0,0,0,,0
Unique,,Spire of Honor,1,1,0,0,,0
Unique,,Spire of Lazarus,2,2,2,2,1(+1),1(+1)
Unique,,Spirit Forge,0,0,0,0,,0
Unique,,Spirit Keeper,2,1,1,1,1,1
Unique,,Spirit Ward,1,2,3,3,3,3
Unique,,Stealskull,3,2,2,2,2,2
Unique,,Steel Carapace,2,2,1,1,1,1
Unique,,Steel Pillar,0,0,0,0,,0
Unique,,Steel Shade,3,4,4,4,4,4
Unique,,Steelclash,0,0,1,0,,0
Unique,,Steeldriver,0,0,0,0,,0
Unique,,Steelgoad,0,0,0,0,,0
Unique,,Steelrend,31,36,38,41,39,39
Unique,,Stone Crusher,1,1,1,1,0(+1),0(+1)
Unique,,The Stone of Jordan,241,248,251,266,270,272
Unique,,Stoneraven,0,0,0,0,,0
Unique,,Stormchaser,1,1,1,1,1,1
Unique,,Stormeye,1,1,1,1,0(+1),0(+1)
Unique,,Stormguild,0,0,0,0,,0
Unique,,Stormlash,2,2,2,2,2,2
Unique,,Stormrider,0,0,0,0,,0
Unique,,Stormshield,118,118,121,123,127,125
Unique,,Stormspike,1,1,1,1,0(+1),0(+1)
Unique,,Stormspire,0,0,0,0,,0
Unique,,Stormstrike,0,0,0,0,,0
Unique,,Stoutnail,0,0,0,0,,0
Unique,,String of Ears,131,130,134,137,134,134
Unique,,Suicide Branch,3,3,4,5,3(+2),2(+2)
Unique,,Sureshrill Frost,1,2,0,2,0(+2),0(+2)
Unique,,Swordback Hold,1,1,1,1,1,1
Unique,,Swordguard,1,1,1,1,1,1
Unique,,Tarnhelm,3,2,2,2,3,3
Unique,,Tearhaunch,12,13,12,12,12,12
Unique,,Templar's Might,4,3,5,6,6,6
Unique,,The Atlantean,1,0,0,0,,0
